"id" "sex" "sire" "dam" "generation"
"377" 505752 "M" 456022 447755 2
"378" 504872 "M" 447754 462481 2
"379" 515051 "M" 462482 466802 2
"380" 508192 "M" 466801 483711 2
"381" 502262 "M" 467041 461371 2
"382" 533247 "F" 466923 498503 3
"383" 508494 "F" 466933 466944 3
"384" 508495 "F" 466933 466944 3
"385" 508504 "F" 466943 466954 3
"386" 508515 "F" 466953 466964 3
"387" 508524 "F" 466963 466974 3
"388" 508538 "F" 466973 466984 3
"389" 508539 "F" 466973 466984 3
"390" 508547 "F" 466983 466994 3
"391" 508555 "F" 466993 467004 3
"392" 508556 "F" 466993 467004 3
"393" 508567 "F" 467003 467014 3
"394" 508576 "F" 467013 467024 3
"395" 509545 "F" 467023 467034 3
"396" 509558 "F" 467033 469694 3
"397" 5095610 "F" 469693 488474 3
"398" 509577 "F" 488471 469716 3
"399" 509594 "F" 469723 471303 3
"400" 509602 "F" 471302 471314 3
"401" 509608 "F" 471302 471314 3
"402" 509616 "F" 471313 471322 3
"403" 509627 "F" 471321 471334 3
"404" 509639 "F" 471333 475152 3
"405" 5096310 "F" 471333 475152 3
"406" 509646 "F" 475151 475164 3
"407" 533259 "F" 475163 502253 3
"408" 511628 "F" 475173 475184 3
"409" 511637 "F" 475183 475194 3
"410" 511646 "F" 475193 475202 3
"411" 511655 "F" 475201 475212 3
"412" 511665 "F" 475211 488442 3
"413" 511674 "F" 488441 488453 3
"414" 511675 "F" 488441 488453 3
"415" 511687 "F" 488451 475224 3
"416" 511698 "F" 475223 478294 3
"417" 511706 "F" 478293 478304 3
"418" 5117111 "F" 478303 478314 3
"419" 5117110 "F" 478303 478314 3
"420" 511727 "F" 478313 478324 3
"421" 511728 "F" 478313 478324 3
"422" 528394 "F" 478323 478372 3
"423" 519135 "F" 478371 478382 3
"424" 519136 "F" 478371 478382 3
"425" 513346 "F" 478381 478392 3
"426" 513354 "F" 478391 488092 3
"427" 5133610 "F" 488091 499382 3
"428" 513378 "F" 499381 478412 3
"429" 513377 "F" 499381 478412 3
"430" 513385 "F" 478411 480042 3
"431" 513397 "F" 480041 480052 3
"432" 519048 "F" 480051 480062 3
"433" 522035 "F" 480061 480072 3
"434" 513429 "F" 480071 488462 3
"435" 513434 "F" 488461 502263 3
"436" 5134410 "F" 502261 466924 3
"437" 5134411 "F" 502261 466924 3
"438" 533245 "M" 466923 498503 3
"439" 533246 "M" 466923 498503 3
"440" 508493 "M" 466933 466944 3
"441" 508503 "M" 466943 466954 3
"442" 508511 "M" 466953 466964 3
"443" 508523 "M" 466963 466974 3
"444" 508522 "M" 466963 466974 3
"445" 508532 "M" 466973 466984 3
"446" 508544 "M" 466983 466994 3
"447" 508545 "M" 466983 466994 3
"448" 508552 "M" 466993 467004 3
"449" 508565 "M" 467003 467014 3
"450" 508573 "M" 467013 467024 3
"451" 509543 "M" 467023 467034 3
"452" 509555 "M" 467033 469694 3
"453" 509568 "M" 469693 488474 3
"454" 509575 "M" 488471 469716 3
"455" 509581 "M" 469715 469724 3
"456" 509593 "M" 469723 471303 3
"457" 509592 "M" 469723 471303 3
"458" 509601 "M" 471302 471314 3
"459" 509612 "M" 471313 471322 3
"460" 509611 "M" 471313 471322 3
"461" 509624 "M" 471321 471334 3
"462" 509625 "M" 471321 471334 3
"463" 509637 "M" 471333 475152 3
"464" 509642 "M" 475151 475164 3
"465" 533256 "M" 475163 502253 3
"466" 511625 "M" 475173 475184 3
"467" 511635 "M" 475183 475194 3
"468" 511645 "M" 475193 475202 3
"469" 511654 "M" 475201 475212 3
"470" 511662 "M" 475211 488442 3
"471" 511663 "M" 475211 488442 3
"472" 511673 "M" 488441 488453 3
"473" 511686 "M" 488451 475224 3
"474" 511695 "M" 475223 478294 3
"475" 511701 "M" 478293 478304 3
"476" 511702 "M" 478293 478304 3
"477" 511719 "M" 478303 478314 3
"478" 511718 "M" 478303 478314 3
"479" 511726 "M" 478313 478324 3
"480" 528392 "M" 478323 478372 3
"481" 528391 "M" 478323 478372 3
"482" 519134 "M" 478371 478382 3
"483" 513344 "M" 478381 478392 3
"484" 513352 "M" 478391 488092 3
"485" 513367 "M" 488091 499382 3
"486" 513368 "M" 488091 499382 3
"487" 513375 "M" 499381 478412 3
"488" 513384 "M" 478411 480042 3
"489" 513396 "M" 480041 480052 3
"490" 519045 "M" 480051 480062 3
"491" 522034 "M" 480061 480072 3
"492" 513426 "M" 480071 488462 3
"493" 513433 "M" 488461 502263 3
"494" 513432 "M" 488461 502263 3
"495" 513449 "M" 502261 466924 3
"496" 509583 "F" 469715 469724 3
"497" 509626 "F" 471321 471334 3
"498" 567332 "F" 533246 508495 4
"499" 572492 "F" 508493 508504 4
"500" 572502 "F" 508503 508515 4
"501" 572512 "F" 508511 508524 4
"502" 559792 "F" 508523 508538 4
"503" 572522 "F" 508532 508547 4
"504" 559812 "F" 508544 508555 4
"505" 572232 "F" 508565 508576 4
"506" 572532 "F" 508573 509545 4
"507" 572542 "F" 509543 509558 4
"508" 572182 "F" 509555 5095610 4
"509" 562682 "F" 509568 509577 4
"510" 562692 "F" 509575 509583 4
"511" 562702 "F" 509581 509594 4
"512" 568682 "F" 509593 509602 4
"513" 562722 "F" 509601 509616 4
"514" 568712 "F" 509611 509627 4
"515" 568722 "F" 509625 5096310 4
"516" 562752 "F" 509637 509646 4
"517" 562762 "F" 509642 533259 4
"518" 562772 "F" 533256 511628 4
"519" 572562 "F" 511625 511637 4
"520" 562792 "F" 511635 511646 4
"521" 563222 "F" 511645 511655 4
"522" 563232 "F" 511654 511665 4
"523" 569862 "F" 511663 511675 4
"524" 563252 "F" 511673 511687 4
"525" 563262 "F" 511686 511698 4
"526" 563272 "F" 511695 511706 4
"527" 569912 "F" 511701 5117111 4
"528" 563292 "F" 511719 511727 4
"529" 563302 "F" 511726 528394 4
"530" 563312 "F" 528392 519135 4
"531" 563322 "F" 519134 513346 4
"532" 563332 "F" 513344 513354 4
"533" 565242 "F" 513352 5133610 4
"534" 572152 "F" 513368 513377 4
"535" 565262 "F" 513375 513385 4
"536" 565272 "F" 513384 513397 4
"537" 565282 "F" 513396 519048 4
"538" 565292 "F" 519045 522035 4
"539" 565302 "F" 522034 513429 4
"540" 565312 "F" 513426 513434 4
"541" 565322 "F" 513433 5134410 4
"542" 565332 "F" 513449 533247 4
"543" 567331 "M" 533246 508495 4
"544" 572491 "M" 508493 508504 4
"545" 572501 "M" 508503 508515 4
"546" 572511 "M" 508511 508524 4
"547" 559791 "M" 508523 508538 4
"548" 572521 "M" 508532 508547 4
"549" 559811 "M" 508544 508555 4
"550" 572231 "M" 508565 508576 4
"551" 572531 "M" 508573 509545 4
"552" 572541 "M" 509543 509558 4
"553" 572181 "M" 509555 5095610 4
"554" 562681 "M" 509568 509577 4
"555" 562691 "M" 509581 509583 4
"556" 562701 "M" 509581 509594 4
"557" 568681 "M" 509593 509602 4
"558" 562721 "M" 509601 509616 4
"559" 568711 "M" 509611 509627 4
"560" 568721 "M" 509625 5096310 4
"561" 562751 "M" 509637 509646 4
"562" 580461 "M" 533256 511628 4
"563" 572561 "M" 511625 511637 4
"564" 562791 "M" 511635 511646 4
"565" 563221 "M" 511645 511655 4
"566" 563231 "M" 511654 511665 4
"567" 569861 "M" 511663 511675 4
"568" 563251 "M" 511673 511687 4
"569" 563261 "M" 511686 511698 4
"570" 563271 "M" 511695 511706 4
"571" 569911 "M" 511701 5117111 4
"572" 563291 "M" 511719 511727 4
"573" 563301 "M" 511726 528394 4
"574" 563311 "M" 528392 519135 4
"575" 563321 "M" 519134 513346 4
"576" 563331 "M" 513344 513354 4
"577" 565241 "M" 513352 5133610 4
"578" 572151 "M" 513368 513377 4
"579" 565261 "M" 513375 513385 4
"580" 565271 "M" 513384 513397 4
"581" 565281 "M" 513396 519048 4
"582" 565291 "M" 519045 522035 4
"583" 565301 "M" 522034 513429 4
"584" 565311 "M" 513426 513434 4
"585" 565321 "M" 513433 5134410 4
"586" 565331 "M" 513449 533247 4
"587" 575631 "M" 508552 508567 4
"588" 562761 "M" 509642 533259 4
"589" 575632 "F" 508552 508567 4
"590" 579182 "F" 567331 572492 5
"591" 602072 "F" 572491 572502 5
"592" 579102 "F" 572501 572512 5
"593" 579092 "F" 572511 559792 5
"594" 578072 "F" 559791 572522 5
"595" 578062 "F" 572521 559812 5
"596" 579132 "F" 559811 575632 5
"597" 579122 "F" 575631 572232 5
"598" 622982 "F" 575631 572232 5
"599" 578092 "F" 572231 572532 5
"600" 578102 "F" 572531 572542 5
"601" 599622 "F" 572541 572182 5
"602" 577482 "F" 572181 562682 5
"603" 572572 "F" 562681 562692 5
"604" 599612 "F" 562691 562702 5
"605" 579152 "F" 562701 568682 5
"606" 579142 "F" 568681 562722 5
"607" 580412 "F" 562721 568712 5
"608" 580962 "F" 568711 568722 5
"609" 580952 "F" 568721 562752 5
"610" 572412 "F" 562751 562762 5
"611" 572422 "F" 562761 562772 5
"612" 579112 "F" 572561 562792 5
"613" 574622 "F" 562791 563222 5
"614" 576042 "F" 563221 563232 5
"615" 580982 "F" 563231 569862 5
"616" 580972 "F" 569861 563252 5
"617" 574612 "F" 563251 563262 5
"618" 574602 "F" 563261 563272 5
"619" 581012 "F" 563271 569912 5
"620" 578112 "F" 563291 563302 5
"621" 579172 "F" 563301 563312 5
"622" 579162 "F" 563311 563322 5
"623" 574632 "F" 563321 563332 5
"624" 576352 "F" 563331 565242 5
"625" 586882 "F" 565241 572152 5
"626" 586872 "F" 572151 565262 5
"627" 576372 "F" 565261 565272 5
"628" 576362 "F" 565271 565282 5
"629" 576052 "F" 565281 565292 5
"630" 576062 "F" 565291 565302 5
"631" 576072 "F" 565301 565312 5
"632" 579212 "F" 565311 565322 5
"633" 623252 "F" 565311 565322 5
"634" 579202 "F" 565321 565332 5
"635" 579192 "F" 565331 567332 5
"636" 579181 "M" 567331 572492 5
"637" 577491 "M" 572491 572502 5
"638" 579101 "M" 572501 572512 5
"639" 579091 "M" 572511 559792 5
"640" 578071 "M" 559791 572522 5
"641" 578061 "M" 572521 559812 5
"642" 579131 "M" 559811 575632 5
"643" 579121 "M" 575631 572232 5
"644" 622981 "M" 575631 572232 5
"645" 578091 "M" 572231 572532 5
"646" 578101 "M" 572531 572542 5
"647" 599621 "M" 572541 572182 5
"648" 577481 "M" 572181 562682 5
"649" 572571 "M" 562681 562692 5
"650" 599611 "M" 562691 562702 5
"651" 602081 "M" 562701 568682 5
"652" 579141 "M" 568681 562722 5
"653" 580411 "M" 562721 568712 5
"654" 580961 "M" 568711 568722 5
"655" 580951 "M" 568721 562752 5
"656" 572411 "M" 562751 562762 5
"657" 572421 "M" 562761 562772 5
"658" 579111 "M" 572561 562792 5
