Batch,Study,Parent_Pair,Cohort,Dam_ID,Sire_ID,Animal_ID,Access_ID,Sex,Diet,DOB,Date_of_Wean,Diet_Start,Diet_Start_Week,Litter_Number,Litter_Size,Coat_Color,Ear_Punch,Rack,Total_AUC,FastGluc,FastIns,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,ClosedJunc,OpenJunc,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,SWIM,CLIMB,FLOAT
Thesis,Thesis,515,7T,731942,733802,AWD302,740985,F,HFD,43534,43556,43581,SIX,4,12,BRN HOOD,RM,C-C3,11325,77,0.48,206,1.650485437,2.669902913,0.72815534,196.41,103.38,12,13,29,12,0,48
Thesis,Thesis,546,7T,733761,731891,AWD306,740785,F,HFD,43535,43556,43581,SIX,4,14,BROWN,LM,C-D3,13410,70,,231,1.082251082,1.688311688,0.649350649,173.08,126.52,6,7,35,57,1,2
Thesis,Thesis,537,7T,731982,733821,AWD314,740797,F,HFD,43536,43557,43581,SIX,5,9,BRN HOOD,RT,C-D3,14010,80,,218,0.504587156,1.009174312,0.458715596,188.96,109.45,6,7,27,48,8,4
Thesis,Thesis,559,7T,734101,734002,AWD298,740955,F,HFD,43533,43556,43581,SIX,3,9,BLK HOOD,LM,C-E3,14100,70,,216,1.481481481,3.703703704,0.972222222,178.15,115,9,10,28,47,2,11
Thesis,Thesis,507,7T,731712,731821,AWD310,740925,F,HFD,43536,43557,43581,SIX,4,12,ALBINO,RB,C-E3,11812.5,71,,209,1.244019139,2.918660287,0.669856459,174.63,123.02,4,5,39,49,4,7
Thesis,Thesis,508,8T,731522,732031,AWD318,740903,F,HFD,43540,43563,43588,SIX,4,7,BRN HOOD,LM,C-C7,14152.5,76,,208,0.769230769,1.25,0.528846154,186.48,112.57,10,11,28,46,7,7
Thesis,Thesis,504,8T,731922,731671,AWD326,740893,F,HFD,43541,43563,43588,SIX,5,13,ALBINO,RB,C-C-7,16875,72,,230,1.217391304,2.304347826,0.565217391,205.01,93,6,7,32,48,1,10
Thesis,Thesis,516,8T,731562,734112,AWD330,740913,F,HFD,43541,43563,43588,SIX,5,11,ALBINO,LB,C-D7,13725,74,,245,1.632653061,3.551020408,0.734693878,239.52,53.77,5,6,27,44,2,14
Thesis,Thesis,506,8T,731552,731651,AWD338,740882,F,HFD,43542,43563,43588,SIX,5,5,BROWN,RT,C-D7,15495,72,0.424,257,1.712062257,3.774319066,1.478599222,191.68,107.39,6,7,29,38,7,15
Thesis,Thesis,539,8T,732052,734122,AWD322,741003,F,HFD,43540,43563,43588,SIX,3,12,ALBINO,LM,C-E7,17175,77,0.3275,226,1.371681416,2.654867257,1.061946903,233.21,63.13,0,1,32,40,2,18
Thesis,Thesis,530,8T,732322,733762,AWD334,740873,F,HFD,43541,43563,43588,SIX,4,7,BLACK,RT,C-E7,12735,81,0.4995,264,4.356060606,2.840909091,2.007575758,116.14,176.69,6,7,26,22,10,28
Thesis,Thesis,520,9T,731882,734352,AWD342,743624,F,HFD,43603,43626,43637,FOUR,7,11,BRN HOOD,LT,C-F3,15067.5,82,0.8845,269,1.895910781,2.713754647,1.003717472,,,3,4,31,46,6,5
Thesis,Thesis,561,9T,734111,731981,AWD350,743634,F,HFD,43604,43626,43637,FOUR,7,11,BLK HOOD,RM,C-F3,11872.5,84,0.7255,175,0.571428571,0.742857143,0.457142857,,,10,11,28,37,5,18
Thesis,Thesis,545,9T,731872,733792,AWD354,743593,F,HFD,43604,43626,43637,FOUR,7,8,BLK HOOD,LT,C-G3,16410,88,,226,1.725663717,2.876106195,1.10619469,,,4,5,20,24,4,32
Thesis,Thesis,518,9T,732242,732231,AWD362,743743,F,HFD,43607,43628,43637,FOUR,7,10,ALBINO,RM,C-G3,12712.5,79,,237,1.139240506,2.53164557,0.928270042,,,3,4,27,5,0,55
Thesis,Thesis,523,9T,732042,731911,AWD346,743614,F,HFD,43604,43626,43637,FOUR,7,9,BRN HOOD,RT,C-H3,13680,70,,222,1.621621622,3.108108108,0.990990991,250.01,49.95,7,8,35,22,1,37
Thesis,Thesis,606,9T,737042,736991,AWD358,743683,F,HFD,43606,43627,43637,FOUR,2,10,BLACK,LM,C-H3,17092.5,80,,177,0.677966102,1.807909605,0.451977401,115.91,183.89,3,4,26,25,2,33
Thesis,Thesis,528,10T,731362,731841,AWD366,743943,F,HFD,43611,43633,43644,FOUR,7,7,BLACK,LT,C-F7,12112.5,88,0.8315,237,3.122362869,3.755274262,2.067510549,177.39,120.9,8,8,29,12,0,48
Thesis,Thesis,553,10T,734241,732241,AWD372,743953,F,HFD,43611,43633,43644,FOUR,6,9,ALBINO,LT,C-F7,12187.5,67,,218,1.513761468,2.798165138,1.146788991,117.17,180.74,7,8,24,18,0,42
Thesis,Thesis,538,10T,731742,731881,AWD376,743923,F,HFD,43613,43634,43644,FOUR,8,9,BLACK,LB,C-G7,15082.5,76,0.594,274,1.934306569,3.503649635,1.715328467,177.23,122.43,7,8,29,6,0,54
Thesis,Thesis,560,10T,734391,732051,AWD384,744023,F,HFD,43613,43634,43644,FOUR,7,10,ALBINO,LM,C-G7,14160,85,1.133,288,3.402777778,4.444444444,2.361111111,167.32,131.72,7,8,28,24,3,33
Thesis,Thesis,543,10T,731822,731551,AWD380,743933,F,HFD,43613,43634,43644,FOUR,7,12,BRN HOOD,LT,C-H7,11182.5,83,,226,1.327433628,2.212389381,0.92920354,105.36,192.11,5,6,30,31,5,24
Thesis,Thesis,535,10T,731752,732321,AWD386,744011,F,HFD,43614,43635,43644,FOUR,7,12,ALBINO,LC,C-H7,13987.5,68,0.4825,252,2.658730159,4.563492063,2.301587302,144.61,154.18,6,7,34,35,4,21
Thesis,Thesis,635,11T,736982,736871,AWD390,745543,F,HFD,43659,43682,43693,FOUR,5,12,BROWN,LT,C-C3,14850,84,0.877,222,,,,185.25,112.35,17,18,17,19,2,39
Thesis,Thesis,634,11T,737312,737441,AWD398,745563,F,HFD,43660,43682,43693,FOUR,4,13,BLACK,RT,C-C3,11685,74,,203,,,,222.12,76.83,9,10,26,18,2,40
Thesis,Thesis,665,11T,737452,737041,AWD402,745553,F,HFD,43660,43682,43693,FOUR,5,9,ALBINO,LT,C-D3,16027.5,74,,225,,,,228.41,70.53,14,14,19,15,1,44
Thesis,Thesis,641,11T,737562,738061,AWD410,745573,F,HFD,43661,43682,43693,FOUR,5,10,BLK HOOD,LM,C-D3,16672.5,87,,276,,,,141.9,146.62,8,9,23,48,11,1
Thesis,Thesis,630,11T,737012,736901,AWD394,745533,F,HFD,43660,43682,43693,FOUR,5,13,BROWN,RT,C-E3,13312.5,81,,244,,,,186.1,110.78,4,5,40,51,8,1
Thesis,Thesis,721,11T,741562,741981,AWD406,745615,F,HFD,43659,43682,43693,FOUR,1,10,ALBINO,LM,C-E3,13440,71,,245,,,,210.97,88.62,12,13,27,47,10,3
Thesis,Thesis,654,12T,737282,737821,AWD414,745893,F,HFD,43666,43689,43700,FOUR,5,12,BLK HOOD,LT,C-C7,17002.5,79,0.4015,253,,,,221.47,71.34,3,4,23,33,0,27
Thesis,Thesis,621,12T,737402,737671,AWD422,745903,F,HFD,43667,43689,43700,FOUR,5,11,BRN HOOD,RM,C-C7,12007.5,74,0.63,252,,,,253.25,1.75,14,15,23,56,3,1
Thesis,Thesis,625,12T,736912,737231,AWD426,745883,F,HFD,43667,43689,43700,FOUR,5,12,BLACK,LM,C-D7,13687.5,95,0.8305,254,,,,242.48,55.66,13,14,24,58,0,2
Thesis,Thesis,624,12T,737343,737411,AWD434,746013,F,HFD,43669,43690,43700,FOUR,5,8,BLACK,LBRB,C-D7,12060,71,,212,,,,253.82,43.66,19,20,8,56,3,1
Thesis,Thesis,614,12T,736752,737331,AWD418,746003,F,HFD,43666,43689,43700,FOUR,4,9,BRN HOOD,LT,C-E7,11377.5,75,0.43,194,,,,281.85,9.76,5,6,33,55,4,1
Thesis,Thesis,638,12T,736882,737201,AWD430,746023,F,HFD,43668,43689,43700,FOUR,5,14,BROWN,RM,C-E7,15022.5,76,,253,,,,250.4,49.15,4,5,38,45,4,11
Thesis,Thesis,605,13T,736732,737221,AWD438,749093,F,HFD,43738,43760,43784,SIX,7,8,BRN HOOD,LB,C-C3,12690,72,0.4155,203,2.068965517,,0.640394089,165.35,133.74,9,10,20,45,10,5
Thesis,Thesis,737,13T,741482,742051,AWD458,749251,F,HFD,43739,43760,43784,SIX,4,14,BLACK,RM,C-C3,12345,84,0.5075,241,0.995850622,2.033195021,1.078838174,254.56,44.38,11,12,31,49,6,5
Thesis,Thesis,612,13T,736692,737471,AWD448,749213,F,HFD,43739,43760,43784,SIX,7,7,BLACK,LT,C-D3,12435,73,,210,1.047619048,1.619047619,0.857142857,211.3,87.28,3,4,31,46,2,12
Thesis,Thesis,656,13T,737322,736861,AWD454,749163,F,HFD,43739,43760,43784,SIX,7,8,BROWN,RM,C-D3,14205,73,1.1365,237,1.64556962,2.869198312,1.392405063,190.92,97.72,22,22,28,36,5,19
