Study,Parent Pair,Cohort,Access ID,Sex,Diet,Diet Start Week,Litter Size,HarvWeight,RetroFat_norm,EpiFat_norm,OmentalFat_norm,FastIns,FastGluc,Total AUC,SWIM,CLIMB,FLOAT,REST EPISODE COUNT_5,MOVEMENT EPISODE COUNT_5,VERTICAL EPISODE COUNT_5
Pilot,317,2P,729054,M,HFD,FOUR,13,401,2.89,2.62,1.27,,,,38,0,21,19,20,19
Pilot,317,2P,729055,M,LFD,FOUR,13,447,3.11,2.73,0.51,,,,37,2,21,5,6,37
Pilot,324,2P,729081,M,LFD,FOUR,15,400,1.75,1.6,1,,,,35,4,21,5,6,25
Pilot,324,2P,729082,M,HFD,FOUR,15,376,1.57,1.3,0.96,,,,52,0,8,10,11,32
Pilot,324,2P,729083,M,LFD,FOUR,15,387,2.17,2.27,2.09,,,,49,3,8,6,7,30
Pilot,324,2P,729084,M,HFD,FOUR,15,451,2.88,1.86,0.6,,,,44,3,13,12,13,28
Pilot,332,1P,729103,M,HFD,FOUR,12,355,1.58,1.24,0.87,,,,42,12,6,19,20,21
Pilot,332,1P,729104,M,LFD,FOUR,12,388,2.91,1.88,1.49,,,,49,3,8,13,14,19
Pilot,332,1P,729105,M,HFD,FOUR,12,442,3.24,2.78,1.61,,,,11,1,47,6,7,20
Pilot,332,1P,729106,M,LFD,FOUR,12,447,2.77,1.63,1.43,,,,47,5,8,6,7,31
Thesis,338,1T,734521,M,HFD,SIX,8,423,4.302600473,3.498817967,1.985815603,,93,18607.5,39,1,20,21,22,13
Thesis,338,1T,734522,M,HFD,SIX,8,438,2.146118721,1.643835616,0.913242009,0.501,81,11212.5,41,2,17,13,14,36
Thesis,338,1T,734523,M,LFD,SIX,8,377,2.546419098,2.015915119,1.220159151,,80,12982.5,34,3,23,20,21,16
Thesis,343,1T,734571,M,HFD,SIX,9,424,4.764150943,2.783018868,2.452830189,1.918,88,12412.5,28,0,32,13,14,27
Thesis,343,1T,734572,M,HFD,SIX,9,360,2.722222222,1.944444444,1.277777778,,88,14610,24,4,32,14,15,21
Thesis,343,1T,734573,M,LFD,SIX,9,410,2.975609756,2.048780488,1.414634146,,82,17040,30,0,30,14,15,15
Thesis,405,1T,734581,M,LFD,SIX,13,341,1.583577713,1.114369501,0.938416422,0.521,74,13687.5,41,2,15,11,12,30
Thesis,405,1T,734582,M,HFD,SIX,13,383,3.237597911,2.140992167,1.618798956,0.86,78,16320,52,1,7,6,7,27
Thesis,405,1T,734583,M,LFD,SIX,13,346,2.023121387,1.329479769,0.924855491,,72,12817.5,41,0,19,13,14,24
Thesis,448,1T,734631,M,HFD,SIX,12,398,2.56281407,2.261306533,1.35678392,1.02,83,15442.5,56,0,4,23,24,24
Thesis,448,1T,734632,M,LFD,SIX,12,340,1.882352941,1.352941176,1.411764706,0.562,74,12780,53,1,6,22,23,18
Thesis,448,1T,734633,M,LFD,SIX,12,379,2.427440633,1.741424802,1.002638522,0.655,75,12637.5,53,0,7,20,21,20
Thesis,408,2T,734671,M,HFD,SIX,13,337,2.640949555,1.305637982,1.038575668,0.657,76,13852.5,55,1,4,21,21,20
Thesis,408,2T,734672,M,LFD,SIX,13,366,2.459016393,1.475409836,1.06557377,1.478,72,13740,31,5,24,13,14,28
Thesis,331,2T,734711,M,HFD,SIX,7,346,2.341040462,1.416184971,1.040462428,0.455,84,15472.5,30,5,21,21,22,12
Thesis,331,2T,734712,M,LFD,SIX,7,363,3.305785124,1.460055096,1.212121212,1.279,75,13057.5,42,0,18,10,11,24
Thesis,330,2T,734723,M,HFD,SIX,8,384,2.942708333,2.083333333,1.40625,,84,13822.5,25,1,34,9,10,20
