Study,Parent_Pair,Cohort,Access_ID,Sex,Diet,Diet_Start_Week,Litter_Size,Total_AUC,HarvWeight,RetroFat_norm,FastGluc,FastIns,SWIM,CLIMB,FLOAT,REST_EPISODE_COUNT_5,MOVEMENT_EPISODE_COUNT_5,VERTICAL_EPISODE_COUNT_5,z
Ozzy,18,10O,725353,M,HFD,SIX,1,9.64930472862475,5.7430031878094825,1.3982801218023648,0.011764705882352941,0.4675004990276171,1849,0,2.8903717578961645,NA,NA,NA,1
Ozzy,18,10O,725354,M,LFD,SIX,1,9.633710883953182,5.676753802268282,1.0730888612549956,0.01098901098901099,0.42395969074432877,2916,0,1.791759469228055,NA,NA,NA,-1
Ozzy,5,8O,725451,M,HFD,SIX,6,9.595670797663967,5.902633333401366,1.6235839590477321,0.014285714285714285,0.29973415347592225,1369,0.6931471805599453,3.1354942159291497,NA,NA,NA,1
Ozzy,5,8O,725452,M,LFD,SIX,6,9.705250005676772,5.7430031878094825,1.0845807578931996,0.013157894736842105,0.42330502623649546,1444,1.3862943611198906,2.995732273553991,NA,NA,NA,-1
Ozzy,6,8O,725461,M,HFD,SIX,7,9.888551563920146,5.993961427306569,1.2281774930227534,0.01098901098901099,1.0814661298331392,2500,0,2.3978952727983707,NA,NA,NA,1
Ozzy,6,8O,725462,M,LFD,SIX,7,9.674608836560324,6.023447592961033,0.7370711549620604,0.010752688172043012,0.7857263618530385,2704,0.6931471805599453,2.0794415416798357,NA,NA,NA,-1
Ozzy,8,8O,725471,M,LFD,SIX,6,9.625821815359835,5.700443573390687,1.1935156336051396,0.01,1.103433978947323,2116,0.6931471805599453,2.6390573296152584,NA,NA,NA,-1
Ozzy,8,8O,725472,M,HFD,SIX,6,9.803998654035386,5.846438775057725,1.6575377073058597,0.009009009009009009,1.522353805526987,1024,0.6931471805599453,3.332204510175204,NA,NA,NA,1
Ozzy,16,8O,725481,M,LFD,SIX,4,9.808957068689894,5.966146739123692,1.0043298582484095,0.01098901098901099,0.6808215308693084,3025,0,1.791759469228055,NA,NA,NA,-1
Ozzy,16,8O,725482,M,HFD,SIX,4,9.895379773141965,5.945420608606575,1.3454450258612975,0.010101010101010102,1.0811269743270902,169,1.0986122886681098,3.828641396489095,NA,NA,NA,1
Ozzy,9,8O,725491,M,HFD,SIX,4,9.683526431913219,5.8916442118257715,1.501303469884907,0.008695652173913044,1.3360531446831438,2916,0.6931471805599453,1.791759469228055,NA,NA,NA,1
Ozzy,9,8O,725492,M,HFD,SIX,4,9.786869463066367,5.910796644040527,1.0417735166784379,0.009900990099009901,0.6229929206367385,3249,0,1.3862943611198906,NA,NA,NA,1
Ozzy,12,8O,725501,M,HFD,SIX,4,9.737639558435063,6.115892125483034,1.5307585817396527,0.008620689655172414,1.4498558426096353,225,1.0986122886681098,3.784189633918261,NA,NA,NA,1
Ozzy,12,8O,725502,M,HFD,SIX,4,9.69698600174044,6.0330862217988015,1.3681010150607658,0.00980392156862745,1.1578241482999556,900,0,3.4339872044851463,NA,NA,NA,1
Ozzy,11,9O,725607,M,LFD,SIX,3,9.60025181315758,5.762051382780177,0.9479605625787673,0.012048192771084338,0.420353720601915,NA,NA,NA,NA,NA,NA,-1
Ozzy,2,9O,725617,M,LFD,SIX,7,9.52704712346858,5.986452005284438,1.139736504394935,0.012195121951219513,1.166582415107377,NA,NA,NA,NA,NA,NA,-1
Ozzy,10,9O,725631,M,HFD,SIX,4,9.589529948672084,5.945420608606575,1.3508983453578092,0.010752688172043012,1.5422291627406504,2025,0,2.772588722239781,NA,NA,NA,1
Ozzy,10,9O,725632,M,HFD,SIX,4,10.023312945604477,6.133398042996649,1.5776331115909639,0.012658227848101266,0.45298462407614076,784,0,3.4965075614664802,NA,NA,NA,1
Ozzy,14,9O,725641,M,HFD,SIX,4,9.72516797712147,5.855071922202427,1.175998952177147,0.008771929824561403,1.0061314358739446,1521,0,3.091042453358316,NA,NA,NA,1
Ozzy,3,9O,725651,M,HFD,SIX,5,9.786869463066367,5.648974238161206,1.0699364885920493,0.01020408163265306,0.5181983780954038,529,1.6094379124341003,3.5263605246161616,NA,NA,NA,1
Ozzy,7,10O,725661,M,LFD,SIX,NA,9.554532731612534,5.869296913133774,1.1347775650068532,0.009615384615384616,0.5655978596129702,2916,0.6931471805599453,1.6094379124341003,NA,NA,NA,-1
Ozzy,7,10O,725662,M,HFD,SIX,NA,NA,5.976350909297934,1.390737402427546,0.009708737864077669,1.0190278093252674,3364,0,1.0986122886681098,NA,NA,NA,1
Ozzy,4,10O,725691,M,LFD,SIX,7,9.677903525682558,5.929589143389895,1.2198461535806513,0.006711409395973154,0.7153977894947651,3025,0,1.791759469228055,NA,NA,NA,-1
Ozzy,4,10O,725692,M,HFD,SIX,7,9.758664072162258,6.07073772800249,1.2878542883066382,0.009345794392523364,1.319887428922292,2500,0,2.302585092994046,NA,NA,NA,1
Ozzy,1,10O,725711,M,HFD,SIX,7,9.804412795594889,5.926926025970411,0.9764748666668944,0.008547008547008548,0.8922029363450652,2704,0.6931471805599453,2.0794415416798357,NA,NA,NA,1
Ozzy,1,10O,725712,M,HFD,SIX,7,9.78349269760993,6.008813185442595,1.3055330043632827,0.009523809523809525,0.7175958609622552,1369,0,3.1780538303479458,NA,NA,NA,1
Ozzy,13,10O,725721,M,HFD,SIX,NA,9.812659811575587,5.752572638825633,1.1112706857014587,0.008064516129032258,0.5484103840932619,2916,0.6931471805599453,1.791759469228055,NA,NA,NA,1
