ID.F51,CC,Sex,Fam.No,DOB,Home.Cage,Sire.ID,Dam.ID,Transponder.number,SW.ID,Generation,Ear.Punch,Sire.SW.ID,Dam.SW.ID
651102,Black,F,NA,6/29/13,NA,646751,646762,892,HSF01319,1300,RM,HSM01219,HSF01220
654712,Black,F,NA,1/13/13,NA,646751,646762,983,HSF01319B,1300,RT,HSM01219,HSF01220
651112,Brown.Hood,F,NA,6/27/13,NA,646761,646772,882,HSF01320,1300,RB,HSM01220,HSF01221
651122,Black.Hood,F,NA,6/28/13,NA,646771,646782,884,HSF01321,1300,RT,HSM01221,HSF01222
651132,Black.Hood,F,NA,7/26/13,NA,646781,646792,945,HSF01322,1300,RM,HSM01222,HSF01223
651142,Black.Hood,F,NA,8/6/13,NA,646791,646802,958,HSF01323,1300,RM,HSM01223,HSF01224
651152,Black,F,NA,7/11/13,NA,646801,646812,908,HSF01324,1300,RB,HSM01224,HSF01225
656102,Black,F,NA,3/18/13,NA,646801,646812,1072,HSF01324B,1300,RT,HSM01224,HSF01225
651162,Black.Hood,F,NA,7/4/13,NA,646811,646822,896,HSF01325,1300,RT,HSM01225,HSF01226
651982,Black.Hood,F,NA,7/26/13,NA,646821,647102,946,HSF01326,1300,RB,HSM01226,HSF01227
651182,Black,F,NA,7/19/13,NA,647101,647112,928,HSF01327,1300,RM,HSM01227,HSF01228
651192,Black,F,NA,7/9/13,NA,647111,646932,904,HSF01328,1300,RT,HSM01228,HSF01229
651202,Brown,F,NA,7/5/13,NA,646931,646942,899,HSF01329,1300,RM,HSM01229,HSF01230
651212,Black.Hood,F,NA,7/12/13,NA,646941,646952,911,HSF01330,1300,RT,HSM01230,HSF01231
651222,Brown,F,NA,8/13/13,NA,646951,646962,970,HSF01331,1300,RM,HSM01231,HSF01232
654142,Brown.Hood,F,NA,12/6/13,NA,652271,652282,978,HSF01331B,1300,RB,HSM01231B,HSF01234B
651232,Black.Hood,F,NA,7/17/13,NA,646961,649581,923,HSF01332,1300,RB,HSM01232,HSF01233
651242,Albino,F,NA,7/8/13,NA,648331,646982,901,HSF01333,1300,RB,HSM01233,HSF01234
651252,Brown,F,NA,7/25/13,NA,646981,646992,940,HSF01334,1300,RB,HSM01234,HSF01235
654332,Albino,F,NA,12/14/13,NA,652281,652582,980,HSF01334B,1300,RT,HSM01234B,HSF01233B
651382,Albino,F,NA,7/18/13,NA,649721,649961,926,HSF01335,1300,RT,HSM01235B,HSF01236B
656891,Brown,F,NA,4/19/13,NA,649721,649961,1083,HSF01335B,1300,RT,HSM01235B,HSF01236B
651262,Brown,F,NA,7/9/13,NA,647001,647012,906,HSF01336,1300,RM,HSM01236,HSF01237
651272,Black,F,NA,7/13/13,NA,647011,647122,915,HSF01337,1300,RB,HSM01237,HSF01238
651372,Black.Hood,F,NA,7/22/13,NA,647121,647132,936,HSF01338,1300,RT,HSM01238,HSF01239
651282,Black,F,NA,7/21/13,NA,647131,647022,934,HSF01339,1300,RB,HSM01239,HSF01240
651302,Black.Hood,F,NA,7/29/13,NA,648291,647042,952,HSF01341,1300,RB,HSM01241,HSF01242
651312,Brown.Hood,F,NA,7/14/13,NA,647041,647142,917,HSF01342,1300,RT,HSM01242,HSF01243
651322,Black.Hood,F,NA,7/25/13,NA,647141,647152,942,HSF01343,1300,RT,HSM01243,HSF01244
651332,Albino,F,NA,7/27/13,NA,647151,647162,950,HSF01344,1300,RM,HSM01244,HSF01245
651342,Albino,F,NA,7/12/13,NA,647161,647172,913,HSF01345,1300,RM,HSM01245,HSF01246
655812,Albino,F,NA,3/1/13,NA,647161,647172,1049,HSF01345B,1300,RM,HSM01245,HSF01246
654112,Black.Hood,F,NA,12/3/13,NA,647171,646592,977,HSF01346,1300,RM,HSM01246,HSF01202
655772,Black,F,NA,3/1/13,NA,646751,646762,1048,HSF01319BB,1300,RT,HSM01219,HSF01220
651441,Albino,M,NA,6/24/13,NA,646591,646602,874,HSM01301,1300,LT,HSM01201,HSF01202
650931,Black.Hood,M,NA,6/24/13,NA,646601,646612,876,HSM01302,1300,LM,HSM01202,HSF01203
650941,Brown,M,NA,6/24/13,NA,646611,646622,878,HSM01303,1300,LB,HSM01203,HSF01204
650951,Brown.Hood,M,NA,6/22/13,NA,646621,646632,870,HSM01304,1300,LM,HSM01204,HSF01205
650961,Black.Hood,M,NA,7/17/13,NA,646631,646642,920,HSM01305,1300,LB,HSM01205,HSF01206
650971,Black,M,NA,6/22/13,NA,646641,646652,872,HSM01306,1300,LB,HSM01206,HSF01207
652361,Black.Hood,M,NA,8/13/13,NA,646671,646682,967,HSM01309,1300,LM,HSM01209,HSF01210
651011,Black.Hood,M,NA,7/4/13,NA,646681,646692,893,HSM01310,1300,LB,HSM01210,HSF01211
651021,Black.Hood,M,NA,7/25/13,NA,646691,646702,938,HSM01311,1300,LT,HSM01211,HSF01212
651031,Black.Hood,M,NA,6/21/13,NA,646701,646712,868,HSM01312,1300,LT,HSM01212,HSF01213
651041,Black.Hood,M,NA,6/29/13,NA,646711,646722,885,HSM01313,1300,LB,HSM01213,HSF01214
651051,Black.Hood,M,NA,6/27/13,NA,646721,646732,880,HSM01314,1300,LT,HSM01214,HSF01215
651951,Brown.Hood,M,NA,7/26/13,NA,646731,646742,943,HSM01315,1300,LB,HSM01215,HSF01216
651071,Brown.Hood,M,NA,7/27/13,NA,652291,650301,947,HSM01316,1300,LM,HSM01240B,HSF01217B
651081,Brown,M,NA,6/29/13,NA,647081,647092,888,HSM01317,1300,LT,HSM01217,HSF01218
656091,Brown.Hood,M,NA,3/17/13,NA,647081,647092,1071,HSM01317B,1300,LT,HSM01217,HSF01218
651091,Brown,M,NA,8/6/13,NA,647091,646752,954,HSM01318,1300,LM,HSM01218,HSF01219
651101,Black,M,NA,6/29/13,NA,646751,646762,891,HSM01319,1300,LM,HSM01219,HSF01220
651971,Brown,M,NA,7/24/13,NA,646761,646772,937,HSM01320,1300,LB,HSM01220,HSF01221
651121,Black.Hood,M,NA,6/28/13,NA,646771,646782,883,HSM01321,1300,LM,HSM01221,HSF01222
651131,Black,M,NA,7/26/13,NA,646781,646792,944,HSM01322,1300,LT,HSM01222,HSF01223
651141,Albino,M,NA,8/6/13,NA,646791,646802,956,HSM01323,1300,LB,HSM01223,HSF01224
651151,Black.Hood,M,NA,7/11/13,NA,646801,646812,907,HSM01324,1300,LT,HSM01224,HSF01225
651161,Black.Hood,M,NA,7/4/13,NA,646811,646822,895,HSM01325,1300,LT,HSM01225,HSF01226
651171,Black.Hood,M,NA,7/4/13,NA,646821,647102,897,HSM01326,1300,LM,HSM01226,HSF01227
651181,Brown,M,NA,7/19/13,NA,647101,647112,927,HSM01327,1300,LB,HSM01227,HSF01228
651191,Black.Hood,M,NA,7/9/13,NA,647111,646932,903,HSM01328,1300,LM,HSM01228,HSF01229
651201,Brown,M,NA,7/5/13,NA,646931,646942,898,HSM01329,1300,LB,HSM01229,HSF01230
651211,Brown.Hood,M,NA,7/12/13,NA,646941,646952,910,HSM01330,1300,LM,HSM01230,HSF01231
651221,Brown,M,NA,8/13/13,NA,646951,646962,969,HSM01331,1300,LB,HSM01231,HSF01232
652721,Brown.Hood,M,NA,12/6/13,NA,652271,652282,978,HSM01331B,1300,RB,HSM01231B,HSF01234B
651231,Brown.hood,M,NA,7/17/13,NA,646961,652582,924,HSM01332,1300,LT,HSM01232,HSF01233B
657921,Brown.hood,M,NA,6/3/13,NA,646961,649581,1085,HSM01332B,1300,LT,HSM01232,HSF01233
651241,Albino,M,NA,7/8/13,NA,648331,646982,900,HSM01333,1300,LT,HSM01233,HSF01234
652501,Black,M,NA,8/16/13,NA,646981,646992,966,HSM01334,1300,LT,HSM01234,HSF01235
654331,Albino,M,NA,12/14/13,NA,652281,652582,980,HSM01334B,1300,RT,HSM01234B,HSF01233B
651381,Brown,M,NA,7/18/13,NA,649721,649961,925,HSM01335,1300,LM,HSM01235B,HSF01236B
651261,Brown,M,NA,7/9/13,NA,647001,647012,905,HSM01336,1300,LB,HSM01236,HSF01237
651271,Black,M,NA,7/13/13,NA,647011,647122,914,HSM01337,1300,LT,HSM01237,HSF01238
651371,Black.Hood,M,NA,7/22/13,NA,647121,647132,935,HSM01338,1300,LM,HSM01238,HSF01239
654741,Brown,M,NA,1/10/13,NA,647131,647022,982,HSM01339,1300,LT,HSM01239,HSF01240
652901,Black.Hood,M,NA,9/4/13,NA,647021,648292,974,HSM01340,1300,LM,HSM01240,HSF01241
657311,Black.Hood,M,NA,5/6/13,NA,652291,650301,1084,HSM01340B,1300,LT,HSM01240B,HSF01217B
651301,Brown.Hood,M,NA,7/29/13,NA,648291,647042,951,HSM01341,1300,LT,HSM01241,HSF01242
651311,Brown.Hood,M,NA,7/14/13,NA,647041,647142,916,HSM01342,1300,LM,HSM01242,HSF01243
651321,Black.Hood,M,NA,7/25/13,NA,647141,647152,941,HSM01343,1300,LM,HSM01243,HSF01244
651331,Albino,M,NA,7/27/13,NA,647151,647162,949,HSM01344,1300,LB,HSM01244,HSF01245
654761,Albino,M,NA,1/7/13,NA,647161,647172,981,HSM01345,1300,LB,HSM01245,HSF01246
654111,Albino,M,NA,12/3/13,NA,647171,646592,976,HSM01346,1300,LT,HSM01246,HSF01201
