IDF51,CC,Sex,FamNo,DOB,HomeCage,SireID,DamID,Transpondernumber,SWID,Generation,EarPunch,SireSWID,DamSWID,,,,,,,,
713591,NA,M,NA,NA,NA,709211,709092,NA,HSM02555,2500,NA,HSM02455,HSF02443,,,,,,,,
713921,NA,M,NA,NA,NA,709231,708872,NA,HSM02557,2500,NA,HSM02457,HSF02421,,,,,,,,
713931,NA,M,NA,NA,NA,709233,708912,NA,HSM02557B,2500,NA,HSM02457B,HSF02425,,,,,,,,
713531,NA,M,NA,NA,NA,709241,708992,NA,HSM02558,2500,NA,HSM02458,HSF02433,,,,,,,,
713981,NA,M,NA,NA,NA,713051,709202,NA,HSM02559,2500,NA,HSM02459,HSF02454,,,,,,,,
713961,NA,M,NA,NA,NA,709261,711102,NA,HSM02560,2500,NA,HSM02460,HSF02443B,,,,,,,,
713701,NA,M,NA,NA,NA,709271,709122,NA,HSM02561,2500,NA,HSM02461,HSF02446,,,,,,,,
714041,NA,M,NA,NA,NA,709281,716962,NA,HSM02562,2500,NA,HSM02462,HSF02428B,,,,,,,,
713601,NA,M,NA,NA,NA,709291,709032,NA,HSM02563,2500,NA,HSM02463,HSF02437,,,,,,,,
713831,NA,M,NA,NA,NA,709301,708862,NA,HSM02564,2500,NA,HSM02464,HSF02420,,,,,,,,
713682,NA,F,NA,NA,NA,708671,708982,NA,HSF02501,2500,NA,HSM02401,HSF02432,,,,,,,,
713892,NA,F,NA,NA,NA,708681,709302,NA,HSF02502,2500,NA,HSM02402,HSF02464,,,,,,,,
713712,NA,F,NA,NA,NA,708691,709282,NA,HSF02503,2500,NA,HSM02403,HSF02462,,,,,,,,
713512,NA,F,NA,NA,NA,708701,709132,NA,HSF02504,2500,NA,HSM02404,HSF02447,,,,,,,,
713492,NA,F,NA,NA,NA,708711,709262,NA,HSF02505,2500,NA,HSM02405,HSF02460,,,,,,,,
713942,NA,F,NA,NA,NA,708721,709292,NA,HSF02506,2500,NA,HSM02406,HSF02463,,,,,,,,
713462,NA,F,NA,NA,NA,708731,709182,NA,HSF02507,2500,NA,HSM02407,HSF02452,,,,,,,,
713912,NA,F,NA,NA,NA,708741,709232,NA,HSF02507B,2500,NA,HSM02407B,HSF02457,,,,,,,,
713882,NA,F,NA,NA,NA,708761,709242,NA,HSF02509,2500,NA,HSM02409,HSF02458,,,,,,,,
713782,NA,F,NA,NA,NA,708781,708842,NA,HSF02511,2500,NA,HSM02411,HSF02418,,,,,,,,
713662,NA,F,NA,NA,NA,708791,709082,NA,HSF02513,2500,NA,HSM02413,HSF02442,,,,,,,,
713742,NA,F,NA,NA,NA,708801,709102,NA,HSF02514,2500,NA,HSM02414,HSF02444,,,,,,,,
713802,NA,F,NA,NA,NA,708811,708802,NA,HSF02515,2500,NA,HSM02415,HSF02414,,,,,,,,
714002,NA,F,NA,NA,NA,710771,708762,NA,HSF02516,2500,NA,HSM02416,HSF02409,,,,,,,,
713862,NA,F,NA,NA,NA,708841,708782,NA,HSF02518,2500,NA,HSM02418,HSF02411,,,,,,,,
713792,NA,F,NA,NA,NA,708851,708742,NA,HSF02519,2500,NA,HSM02419,HSF02407B,,,,,,,,
713812,NA,F,NA,NA,NA,708861,708812,NA,HSF02520,2500,NA,HSM02420,HSF02415,,,,,,,,
713752,NA,F,NA,NA,NA,708871,708962,NA,HSF02521,2500,NA,HSM02421,HSF02430,,,,,,,,
713552,NA,F,NA,NA,NA,708881,708922,NA,HSF02522,2500,NA,HSM02422,HSF02426,,,,,,,,
713562,NA,F,NA,NA,NA,708891,709192,NA,HSF02523,2500,NA,HSM02423,HSF02453,,,,,,,,
714022,NA,F,NA,NA,NA,708901,710772,NA,HSF02524,2500,NA,HSM02424,HSF02416,,,,,,,,
